Model,Dataset,Strategy,N,Accuracy,Precision_macro,Recall_macro,F1_macro,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support
deberta-v3-nli,HASOC,UNMASKED,4594,0.8371789290378755,0.6292932119868073,0.6493247012196702,0.6379159847474893,0.8430258464172882,0.9179954441913439,0.8953344853122686,0.9065233691577106,4051.0,0.3405909797822706,0.40331491712707185,0.36930860033726814,543.0
deberta-v3-nli,HASOC,PER_ORG_LOC_GENERIC_ENTITY,4594,0.8445798868088812,0.6210896022216776,0.6152467639802464,0.6180311787327282,0.8426588971982863,0.908845871110022,0.9155764008886694,0.91219872110182,4051.0,0.3333333333333333,0.3149171270718232,0.32386363636363635,543.0
deberta-v3-nli,HASOC,PER_ONLY,4594,0.8387026556377885,0.6243061623496406,0.6350383894479821,0.6292428346305072,0.8420389690335024,0.9141641641641641,0.9017526536657615,0.9079159935379645,4051.0,0.33444816053511706,0.3683241252302026,0.35056967572305,543.0
deberta-v3-nli,HASOC,ORG_ONLY,4594,0.8356552024379625,0.6183729585416681,0.6293235010521923,0.6233704536804632,0.8392866318890186,0.9128256513026052,0.899530980004937,0.9061295536491359,4051.0,0.3239202657807309,0.35911602209944754,0.3406113537117904,543.0
deberta-v3-nli,HASOC,LOC_ONLY,4594,0.8426208097518503,0.6311578550541534,0.6404495991031476,0.6355035359798833,0.8453121979469812,0.9153769345981029,0.9052085904714885,0.9102643663894749,4051.0,0.3469387755102041,0.3756906077348066,0.36074270557029176,543.0
deberta-v3-nli,HASOC,PER_ORG_LOC_TYPED,4594,0.8439268611232041,0.6187950106585239,0.6124843330410198,0.615475321191363,0.8417978295451892,0.9081782566111655,0.9155764008886694,0.9118623232944069,4051.0,0.32941176470588235,0.30939226519337015,0.3190883190883191,543.0
deberta-v3-nli,HASOC,X_LENGTH,4594,0.826512842838485,0.6040038576306246,0.6177605238549198,0.6099856975575066,0.831889648958521,0.9102370146243066,0.8911379906196001,0.9005862542098042,4051.0,0.29777070063694266,0.3443830570902394,0.3193851409052092,543.0
deberta-v3-nli,HASOC,RANDOM_SUBSTITUTION,4594,0.8297779712668698,0.6115290686072797,0.6267883745595408,0.6181609780839238,0.8352230868809339,0.9124400706535453,0.8926191063934831,0.9024207636635887,4051.0,0.31061806656101426,0.36095764272559855,0.3339011925042589,543.0
deberta-v3-nli,GAHD,UNMASKED,10995,0.68731241473397,0.6794060077312323,0.6768381138618746,0.6778228100244665,0.6861859327758731,0.720585991149092,0.746089429609733,0.7331159757801584,6329.0,0.6382260243133724,0.6075867981140163,0.6225296442687747,4666.0
deberta-v3-nli,GAHD,PER_ORG_LOC_GENERIC_ENTITY,10995,0.6711232378353797,0.6630224398204814,0.6522170819563393,0.6538073638817066,0.6655179366287414,0.6903859649122807,0.7772159898878179,0.7312323472573212,6329.0,0.6356589147286822,0.5272181740248607,0.5763823805060918,4666.0
deberta-v3-nli,GAHD,PER_ONLY,10995,0.6823101409731697,0.6740991715603983,0.6695365775906728,0.6709608540028882,0.6802036866334357,0.7113893858079905,0.7539895718122926,0.7320702615632431,6329.0,0.6368089573128062,0.5850835833690528,0.6098514464425332,4666.0
deberta-v3-nli,GAHD,ORG_ONLY,10995,0.6856753069577081,0.6776350627495188,0.6740927213243633,0.6753263353662463,0.6840937015183609,0.716699351335043,0.7506715120872176,0.7332921747183208,6329.0,0.6385707741639945,0.5975139305615088,0.6173604960141719,4666.0
deberta-v3-nli,GAHD,LOC_ONLY,10995,0.6772169167803547,0.6689216905158485,0.6615929050289129,0.6632915331528656,0.6736483815305553,0.7013909011880615,0.7648917680518249,0.7317663064016325,6329.0,0.6364524798436355,0.5582940420060009,0.5948167599040987,4666.0
deberta-v3-nli,GAHD,PER_ORG_LOC_TYPED,10995,0.6702137335152342,0.66204186509827,0.6512299705320971,0.6527904493826604,0.664554526326416,0.6895777808949362,0.7767419813556644,0.7305691781839798,6329.0,0.6345059493016038,0.5257179597085297,0.5750117205813409,4666.0
deberta-v3-nli,GAHD,X_LENGTH,10995,0.6721236925875398,0.6634855025356613,0.656267809605828,0.657872773492618,0.6684339492746388,0.6971056439942113,0.7610996997945964,0.7276984666515598,6329.0,0.6298653610771113,0.5514359194170596,0.5880470803336761,4666.0
deberta-v3-nli,GAHD,RANDOM_SUBSTITUTION,10995,0.6671214188267395,0.6581031072396042,0.6534995090263104,0.6548031596460393,0.6646660701022281,0.6979089426071482,0.7435613841049139,0.7200122399020807,6329.0,0.6182972718720602,0.5634376339477069,0.5895940793899977,4666.0
